trade_date,loan_age,cosign,income_annual,upb,monthly_payment,fico,origbalance,mos_to_repay,repay_status,mos_to_balln
2023-01-01,32,0,131820,63955.69,2356.99,702,120501.24,0,0,28
2023-01-01,13,0,51706.2,23361.44,396.78,712,26812.8,0,0,71
2023-01-01,16,0,125000,20393.37,167.26,815,21801.42,0,0,164
2023-01-01,22,0,180944.01,130614.3,1139.83,785,142687.14,0,0,159
2023-01-01,20,0,68347.8,3664.51,278.55,826,14646.51,0,0,41
2023-01-01,37,0,192000,11444.99,591.67,839,32303.23,0,0,23
2023-01-01,27,0,65270.4,3716.5,655.35,737,44072.88,0,0,58
2023-01-01,45,0,63697.66,22965.9,375.37,743,33789.97,0,0,121
2023-01-01,33,0,59000,3308.84,120.78,760,24889.59,0,0,64
2023-01-01,20,0,110669,64529.78,582.5,809,70015.39,0,0,161
2023-01-01,24,0,300009.84,45142.14,839,818,61029.41,0,0,60
2023-01-01,25,0,45000,9014.29,92.86,788,11280.2,0,0,155
2023-01-01,14,0,46280,26501.41,239.9,744,27968.26,0,0,167
2023-01-01,46,0,103000.08,25732.71,430.69,772,39845.1,0,0,74
2023-01-01,31,0,61339.2,10005.09,390.61,832,19667.58,0,0,29
2023-01-01,50,0,70000.06,12182.49,1400.54,749,80045.66,0,0,61
2023-01-01,21,0,82941.09,47499.2,382.28,684,50197.02,0,0,219
2023-01-01,25,0,111276.3,54453.05,497.81,785,59633.01,0,0,157
2023-01-01,19,0,100000,12240.66,163.29,845,15209.52,0,0,102
2023-01-01,17,0,55008,42190.92,352.29,726,43705.12,0,0,223
2023-01-01,17,0,150230.34,170209.06,1533.64,764,190380.7,0,0,165
2023-01-01,45,0,79999.92,96889.46,754.69,708,98981.4,0,0,195
2023-01-01,55,0,66800.16,14646.66,342.22,817,39572.73,0,0,125
2023-01-01,11,0,109454.8,22008.76,256.58,783,23743.2,0,0,110
2023-01-01,20,0,144500.04,9200.88,243.78,797,13054.68,0,0,41
2023-01-01,15,0,79999.92,38494.44,459.49,797,42748.73,0,0,105
2023-01-01,33,0,224890.96,9359.05,1217.78,824,65889.97,0,0,27
2023-01-01,19,0,90000,70112.33,883.54,773,83423.97,0,0,102
2023-01-01,21,0,249999.88,36090.18,1004.25,850,55202.89,0,0,39
2023-01-01,20,0,72128.68,31546.05,282.49,805,34244.65,0,0,161
2023-01-01,24,0,85102.16,32484.3,439.3,766,40177.06,0,0,97
2023-01-01,42,0,248000.02,39283.01,597.9,826,57475.43,0,0,79
2023-01-01,42,0,101920,17192.86,202.41,728,23215.58,0,0,138
2023-01-01,4,0,275350.92,52772.25,440.06,759,53488.93,0,0,176
2023-01-01,32,0,80435,27247.65,598.12,810,41424.13,0,0,52
2023-01-01,23,0,60451.22,48600.64,720.96,766,62751.95,0,0,99
2023-01-01,11,0,176321.83,58568.49,547.26,758,76316.85,0,0,230
2023-01-01,9,0,191360,112647.22,1751.11,787,126365.22,0,0,75
2023-01-01,16,0,211999.84,200893.58,2384.99,763,224444.65,0,0,104
2023-01-01,8,0,96750,31884.04,244.38,754,32567.82,0,0,232
2023-01-01,26,0,214154.16,86847.27,660.95,803,93183.13,0,0,214
2023-01-01,23,0,138450,35200.69,441.83,836,42145.59,0,0,98
2023-01-01,23,0,200000.06,390972.86,2974.09,775,419434.52,0,0,218
2023-01-01,9,0,128750.18,22519.85,329.86,824,30188.25,0,0,112
2023-01-01,28,0,122943.34,61891.41,820.5,816,76768.1,0,0,92
2023-01-01,31,0,226664,16226.64,347.31,791,56071.02,0,0,85
2023-01-01,26,0,186222.4,96108.56,1568.19,767,146765.42,0,0,95
2023-01-01,1,0,123049.94,55394.75,803.06,797,56782.83,0,0,83
2023-01-01,25,0,124938.94,14073.4,450.02,803,23772.67,0,0,35
2023-01-01,31,0,132999.88,136098.92,1950.9,727,173499.2,0,0,89
2023-01-01,17,0,182413.4,71953.33,859.82,848,81462.42,0,0,103
2023-01-01,30,0,253200,223930.77,3053.18,756,289405.92,0,0,91
2023-01-01,28,0,170000,221334.78,1617.89,734,237495.64,0,0,214
2023-01-01,24,0,161179.78,10121.5,289.94,791,15877.16,0,0,37
2023-01-01,34,0,53911,62717.34,574.9,758,67863.1,0,0,241
2023-01-01,23,0,113885.46,42707.79,563.18,813,50042.45,0,0,98
2023-01-01,26,0,70000.06,34366.53,277.99,744,36497.48,0,0,214
2023-01-01,17,0,70589.39,43901.35,319.98,811,44348.62,0,0,229
2023-01-01,4,0,123362.44,90952.75,1016.79,770,92948.05,0,0,117
2023-01-01,30,0,70454.43,47633.21,480.56,733,53434.42,0,0,151
2023-01-01,33,0,69999.96,43259.34,387.06,643,45422.75,0,0,211
2023-01-01,10,0,111701.2,11092.07,134.48,709,12001,0,0,111
2023-01-01,51,1,147796.96,4131.82,484.27,785,25868.89,0,0,10
2023-01-01,15,0,280000,26076.17,446.35,826,32216.87,0,0,69
2023-01-01,19,0,226636.4,77005.72,673.66,817,84353.53,0,0,161
2023-01-01,34,0,64500.02,49326.21,433.97,675,53277.8,0,0,207
2023-01-01,23,0,110048.92,64964.86,515.18,755,69344.9,0,0,218
2023-01-01,20,0,118876.78,92190.53,919.45,832,112316.04,0,0,161
2023-01-01,25,0,189806.4,83016.31,1055.87,783,100600.73,0,0,95
2023-01-01,19,0,124999.92,85079.47,734.96,803,92120.55,0,0,162
2023-01-01,5,0,110839.09,23736.94,492.95,741,25612.34,0,0,55
2023-01-01,32,0,70798.56,57068.95,796.66,841,73289.35,0,0,89
2023-01-01,50,0,249999.88,35064.21,587.76,779,76791.49,0,0,71
2023-01-01,46,0,246499.92,142362.04,1169.94,735,168202.5,0,0,194
2023-01-01,21,0,59739.94,61078.18,493.94,776,64167.75,0,0,219
2023-01-01,28,0,239229.38,70493.71,686.77,730,79456.18,0,0,181
2023-01-01,30,0,124999.94,27511.55,583.19,801,41772.1,0,0,54
2023-01-01,15,0,140050.04,26460.88,636.45,798,34507.65,0,0,45
2023-01-01,38,0,76715.08,10799.3,503.77,730,26264.23,0,0,23
2023-01-01,47,0,114652.92,98158.44,1035.98,776,122296,0,0,181
2023-01-01,42,0,118560,71249.27,604.72,731,80068.97,0,0,241
2023-01-01,36,0,113663,25731.24,260.26,831,31330.14,0,0,144
2023-01-01,23,0,154349.88,67325.21,2166.96,822,118771.69,0,0,38
2023-01-01,25,0,146259.98,58766.09,468.88,722,62220.93,0,0,215
2023-01-01,53,0,124999.94,32536.98,631.65,799,57857.91,0,0,68
2023-01-01,24,0,47008,9575.53,74.84,757,10114.32,0,0,217
2023-01-01,27,0,46548.76,12394.01,369.19,721,24811.38,0,0,58
2023-01-01,32,0,54433,65309.98,574.03,718,69879.78,0,0,210
2023-01-01,11,0,59999.94,16805.67,434.73,811,23098.61,0,0,50
2023-01-01,39,0,79999.92,165388.47,1384.85,761,178336.94,0,0,201
2023-01-01,23,0,113703.55,30509.62,428.93,739,40123.86,0,0,99
2023-01-01,14,0,85191.08,78994.59,956.53,774,88038,0,0,107
2023-01-01,29,0,203149.09,17697.61,635.83,850,34410.63,0,0,32
2023-01-01,18,0,68571.14,31566.86,322.15,700,37541.11,0,0,162
2023-01-01,22,0,380123.62,76387.87,2199.26,805,120030.1,0,0,38
2023-01-01,7,0,141780,37133.47,335.15,766,38021.44,0,0,174
2023-01-01,43,0,46000.08,29556.6,543.9,754,48936.99,0,0,77
2023-01-01,27,0,126790,38357.18,352.19,768,42694.62,0,0,154
2023-01-01,28,0,267020.94,14397.18,478.81,764,32987.39,0,0,33
2023-01-01,1,0,147745.25,58622.26,540.32,695,58676.56,0,0,180
2023-01-01,9,0,68640,11722.86,133.24,821,12451.72,0,0,111
2023-01-01,21,0,200000.04,18415.24,504.58,756,27625.51,0,0,39
2023-01-01,14,0,141609.5,95148.1,1571.13,749,111893,0,0,71
2023-01-01,13,0,224779.2,101903.02,1187.94,804,112576.88,0,0,108
2023-01-01,6,0,71678.64,10932.97,93.63,824,11171.5,0,0,174
2023-01-01,14,0,195999.96,121188.86,2908.15,789,160457.76,0,0,46
2023-01-01,35,0,70915.68,30734.99,466.64,741,39866.59,0,0,121
2023-01-01,29,0,119301.21,125249.33,977.65,777,143260.22,0,0,241
2023-01-01,22,0,168466.85,62607.94,550.3,836,68936.44,0,0,158
2023-01-01,27,0,195000,81190.03,2643.24,787,144848.14,0,0,33
2023-01-01,20,0,94028.5,12685.67,361.74,755,19148.51,0,0,40
2023-01-01,28,0,212706.92,256764.12,1921.89,779,286159.54,0,0,242
2023-01-01,22,0,79726.4,28499.42,279.36,695,31522.37,0,0,160
2023-01-01,10,0,42882.41,6658.47,182,822,9715.87,0,0,51
2023-01-01,18,0,130759.97,14593.31,652.64,816,36095.58,0,0,43
2023-01-01,25,0,88200,9445.67,291.89,806,15558.58,0,0,35
2023-01-01,19,0,71999.98,23309.54,604.04,817,32346.55,0,0,42
2023-01-01,5,0,85000.08,25191,291.07,782,102468.07,0,0,115
2023-01-01,47,0,56000,6560.8,534.79,772,28347.24,0,0,14
2023-01-01,32,0,118875.38,463.6,22.47,773,7253.57,0,0,28
2023-01-01,20,0,93400.08,109673.87,993.33,838,119948.25,0,0,160
2023-01-01,28,0,94000,54335.41,536.47,711,60622.39,0,0,152
2023-01-01,27,0,76014,16273.02,533.94,814,28165.27,0,0,33
2023-01-01,53,0,100000.16,111704.9,967.04,736,125505.92,0,0,190
2023-01-01,17,0,135385.49,24152.12,187.49,816,25592.45,0,0,224
2023-01-01,19,0,131400,142023.75,1792.06,787,166798.34,0,0,102
2023-01-01,10,0,72800,47800.14,563.15,806,51110.06,0,0,110
2023-01-01,11,0,97922.5,12724.59,305.5,696,15838.26,0,0,50
2023-01-01,12,0,557798.4,107022.57,2403.21,785,131584.38,0,0,49
2023-01-01,37,0,138846.24,16361.26,757.55,810,40256.92,0,0,24
2023-01-01,9,0,115000,37205.94,324,782,38597.84,0,0,171
2023-01-01,24,0,170181,48980.34,651.38,744,58637.99,0,0,96
2023-01-01,23,0,129200,12944.64,244.41,828,17044.49,0,0,61
2023-01-01,23,0,152728.95,43510.16,551.81,771,51628.57,0,0,97
2023-01-01,27,0,79170,27594.89,559.89,748,38461.52,0,0,57
2023-01-01,13,0,100193.08,6535.75,166.43,749,8838.07,0,0,47
2023-01-01,22,0,163000,144421.72,1834.88,804,170556.05,0,0,120
2023-01-01,29,0,40000.08,34535.97,342.33,780,38649.71,0,0,152
2023-01-01,34,0,49797.28,15410.89,140.07,731,16741.79,0,0,207
2023-01-01,2,0,165172.8,66504.91,505.79,785,66632.97,0,0,238
2023-01-01,32,0,62665.99,48180.78,402.21,713,52076.51,0,0,209
2023-01-01,30,0,180000,166222.36,1555.68,763,188734.11,0,0,151
2023-01-01,31,0,206871.65,32342.32,1845.68,821,133719.36,0,0,53
2023-01-01,31,0,51916.8,13511.71,504.97,690,26505.19,0,0,30
2023-01-01,52,1,197677.8,43359.09,742.25,754,70346.56,0,0,68
2023-01-01,22,0,192088,26996.39,347.32,745,32880.07,0,0,98
2023-01-01,5,0,43500,44891.77,388.99,788,45794.57,0,0,175
2023-01-01,28,0,202773.36,28842.94,956.96,843,52434.22,0,0,32
2023-01-01,47,0,88119.98,23646.11,388.25,791,34928.09,0,0,75
2023-01-01,22,0,114088,28225.5,982.02,789,69108.8,0,0,62
2023-01-01,20,0,71680,117220.84,963.55,685,124104.16,0,0,221
2023-01-01,22,0,76000.34,16972.97,166.39,797,18939.23,0,0,158
2023-01-01,21,0,340000,75709.42,820.67,840,102089.83,0,0,159
2023-01-01,29,0,144368,5039.98,166.89,837,9138.98,0,0,33
2023-01-01,11,0,146640.96,108278.84,1290.88,741,118409.31,0,0,117
2023-01-01,23,0,130000,48072.58,592.85,820,56822.84,0,0,99
2023-01-01,43,0,508833,13186.61,874.75,800,48408.57,0,0,17
2023-01-01,36,0,64400.16,12249.72,291.44,778,20082.23,0,0,85
2023-01-01,11,0,200000.16,233494.17,2657.94,804,256305.97,0,0,111
2023-01-01,19,0,111868.38,48056.04,1142.34,815,82075.22,0,0,65
2023-01-01,19,0,169999.94,111686.29,985.65,800,121410.15,0,0,162
2023-01-01,31,0,195000,9834.49,376.88,842,20329.16,0,0,29
2023-01-01,43,0,191800,17059.45,461.17,799,32459.29,0,0,41
2023-01-01,36,0,139643.7,16513.36,137.95,780,19212.37,0,0,213
2023-01-01,11,0,65036.33,16838.23,269.65,765,18968.5,0,0,74
2023-01-01,17,0,76571.1,27927.55,247.76,764,30029.43,0,0,165
2023-01-01,35,0,105970.53,86232.39,1282.02,782,114190.72,0,0,86
2023-01-01,30,0,112517,36933.33,655.61,796,58355.85,0,0,90
2023-01-01,22,0,227992.16,32396.92,567.29,841,42182.92,0,0,62
2023-01-01,19,0,40721.98,21729.85,214.93,729,23805.33,0,0,161
2023-01-01,28,0,103383.43,46602.59,654.37,749,57843.73,0,0,92
2023-01-01,20,0,90000.04,47380.11,419.22,822,51294.6,0,0,160
2023-01-01,40,0,90001.6,45934.58,1171.17,786,82612.91,0,0,84
2023-01-01,10,0,250570.2,30086.74,217.64,809,30325.26,0,0,234
2023-01-01,18,0,90523.94,33127.26,300.58,774,35685.63,0,0,164
2023-01-01,29,0,59107.62,23732.59,341.94,692,29745.94,0,0,92
2023-01-01,26,0,67999.92,24751.85,335.19,782,30169.12,0,0,94
2023-01-01,30,0,75000,40157.46,590.84,739,49589.4,0,0,91
2023-01-01,32,0,72568.96,6613.92,146.07,756,9999.99,0,0,52
2023-01-01,20,0,141348,42193.9,731.17,815,54100.78,0,0,65
2023-01-01,29,0,75500,2620.53,156.6,748,8164.39,0,0,32
2023-01-01,20,0,104988,67950.07,604.74,818,74479.04,0,0,161
2023-01-01,24,0,65000,8723.76,191.63,795,13234.18,0,0,61
2023-01-01,14,0,191250.04,81811.76,1334.64,780,95856.11,0,0,71
2023-01-01,35,0,180176.48,51114.06,427.83,828,56673.57,0,0,205
2023-01-01,7,0,82999.92,11755.59,271.42,833,14322.13,0,0,54
2023-01-01,36,0,175000.08,86577.97,824.33,701,101584.93,0,0,144
2023-01-01,48,0,77535.84,22866.37,298.04,772,35016.57,0,0,133
2023-01-01,29,0,90480,41820.77,873.61,832,60185.24,0,0,55
2023-01-01,16,0,170988.37,103682.64,758.49,842,107833.84,0,0,226
2023-01-01,33,0,78000,12472.53,527.85,774,27544.63,0,0,28
2023-01-01,22,0,200000,322280.48,2486.82,742,339658,0,0,220
2023-01-01,20,0,54550.08,59617.7,488.49,650,62893.68,0,0,221
2023-01-01,13,0,156000,57876.69,943.43,796,67825.46,0,0,71
2023-01-01,28,0,124000.04,56017.87,807.28,825,73060.26,0,0,93
2023-01-01,23,0,50000.08,37051.2,296.39,678,35773.38,0,0,217
2023-01-01,9,0,55131,6944.05,154.97,824,8155.19,0,0,52
2023-01-01,32,0,210017.6,201080.35,2792.39,753,264794.08,0,0,89
2023-01-01,46,0,120000,146365.93,2469.91,735,218996.33,0,0,75
2023-01-01,11,0,104154.97,10002.77,612.01,772,32624.8,0,0,50
2023-01-01,19,0,40546.8,22675.81,189.91,705,23536.07,0,0,223
2023-01-01,40,0,255461.91,13785.7,378.3,829,26970.07,0,0,44
